guid,name,short_description,description,type,status,state,run_mode,has_setup,setup_complete,has_settings,isbundle,template_guid,admin_url,schedule_start_at,schedule_stop_at,schedule_interval,schedule_timezone,icon,icon2,icon3,created_at,updated_at,last_run_at,accountid,accountname
d212dbc0-713a-11eb-bfff-09c3dc1e5281,Demo,,,widget,live,available,manual,,1,,,,https://alvaropalacios.admin.blendr.io/widgets/d212dbc0-713a-11eb-bfff-09c3dc1e5281,,,-1,Europe/Paris,https://d3943gebd10mx7.cloudfront.net/image/logos/7dfbf52e6e0a49eaa4180e4ffa5562b5.png,,https://d3943gebd10mx7.cloudfront.net/image/logos/405380a45a221af46045e26b6075c043.png,2021-02-17T16:11:41.000000Z,2021-03-23T10:17:42.000000Z,2021-03-22T14:14:04.000000Z,cf255040-61a3-11eb-a423-fffb4aaf2529,"OEM Partner (SaaS Admin)"
79f46fc0-7852-11eb-95d1-5d2fb2a19df9,Strava,"Get your profile info!",,widget,live,available,manual,,1,,,,https://alvaropalacios.admin.blendr.io/widgets/79f46fc0-7852-11eb-95d1-5d2fb2a19df9,,,-1,Europe/Paris,https://d3943gebd10mx7.cloudfront.net/image/logos/19880870f8779964c914dc54a5612106.png,,,2021-02-26T16:48:39.000000Z,2021-03-31T08:16:34.000000Z,2021-03-31T08:16:34.000000Z,cf255040-61a3-11eb-a423-fffb4aaf2529,"OEM Partner (SaaS Admin)"
26d65fb0-831d-11eb-b3e5-935e2d3a42d7,"QSE SaaS Provisioning",,"SaaS Automation Demo",widget,live,available,manual,,1,,,,https://alvaropalacios.admin.blendr.io/widgets/26d65fb0-831d-11eb-b3e5-935e2d3a42d7,,,-1,Europe/Paris,https://d3943gebd10mx7.cloudfront.net/image/logos/bbbb2c7c84c636ef3d5188aa200d0ee9.png,,https://d3943gebd10mx7.cloudfront.net/image/logos/21dd4ad9985d490e7bfd7a644d783489.png,2021-03-12T10:24:39.000000Z,2021-03-22T12:13:27.000000Z,2021-03-19T16:26:42.000000Z,cf255040-61a3-11eb-a423-fffb4aaf2529,"OEM Partner (SaaS Admin)"
5bc12510-8348-11eb-819d-291dcb5d803d,"QSE SaaS Deletion",,"SaaS Automation Demo: delete all spaces & apps created with blendr",widget,live,available,manual,,1,,,,https://alvaropalacios.admin.blendr.io/widgets/5bc12510-8348-11eb-819d-291dcb5d803d,,,-1,Europe/Paris,https://d3943gebd10mx7.cloudfront.net/image/logos/21dd4ad9985d490e7bfd7a644d783489.png,,,2021-03-12T15:33:56.000000Z,2021-05-27T14:59:40.000000Z,2021-05-27T14:59:40.000000Z,cf255040-61a3-11eb-a423-fffb4aaf2529,"OEM Partner (SaaS Admin)"
ddd647d0-8700-11eb-9abb-dbe2c7916aac,Qlik,"Blends communicating with Qlik Cloud Services",,bundle,live,available,manual,,1,,1,,https://alvaropalacios.admin.blendr.io/widgets/ddd647d0-8700-11eb-9abb-dbe2c7916aac,,,-1,Europe/Paris,https://d3943gebd10mx7.cloudfront.net/image/logos/21dd4ad9985d490e7bfd7a644d783489.png,https://d3943gebd10mx7.cloudfront.net/image/logos/arrowright.png,/img/blendricon.svg,2021-03-17T09:12:15.000000Z,2021-03-17T09:23:55.000000Z,,cf255040-61a3-11eb-a423-fffb4aaf2529,"OEM Partner (SaaS Admin)"
891103d0-8893-11eb-bb41-5b865ab22d79,"Talmundo to bamboohr poc (triggered not for demo)",,,widget,live,available,triggered,,1,1,,,https://alvaropalacios.admin.blendr.io/widgets/891103d0-8893-11eb-bb41-5b865ab22d79,,,-1,Europe/Brussels,https://d3943gebd10mx7.cloudfront.net/image/logos/bdf2d155fd4e078972c7cf9d4fd5ab29.png,,,2021-03-19T09:14:40.000000Z,2021-03-23T08:45:38.000000Z,2021-03-22T11:08:32.000000Z,cf255040-61a3-11eb-a423-fffb4aaf2529,"OEM Partner (SaaS Admin)"
0ca06b00-8899-11eb-bc63-9762c1e0b8e5,"Bamboohr to talmundo poc",,,widget,hidden,available,manual,,1,,,,https://alvaropalacios.admin.blendr.io/widgets/0ca06b00-8899-11eb-bc63-9762c1e0b8e5,,,-1,Europe/Brussels,https://d3943gebd10mx7.cloudfront.net/image/logos/bdf2d155fd4e078972c7cf9d4fd5ab29.png,,https://d3943gebd10mx7.cloudfront.net/image/logos/0a1e2ea835799e3045ec104d2d637574.png,2021-03-19T09:54:08.000000Z,2021-03-23T08:44:23.000000Z,2021-03-19T09:55:30.000000Z,cf255040-61a3-11eb-a423-fffb4aaf2529,"OEM Partner (SaaS Admin)"
a2081c10-88bc-11eb-9d68-2d11b72c5abb,"Job Logs to Qlik Sense",,"As a SaaS partner of Blendr.io, you can send logs of integration runs (jobs) from all your customers to Qlik Cloud Services, in order to visualize all runs in dashboards, escalate errors, etc.",widget,live,available,scheduled,,1,,,,https://alvaropalacios.admin.blendr.io/widgets/a2081c10-88bc-11eb-9d68-2d11b72c5abb,,,3600,Europe/Paris,https://d3943gebd10mx7.cloudfront.net/image/logos/74ce5b121244145b0143675e69e195e4.png,,https://d3943gebd10mx7.cloudfront.net/image/logos/21dd4ad9985d490e7bfd7a644d783489.png,2021-03-19T14:08:51.000000Z,2021-05-07T07:59:58.000000Z,2021-05-07T07:59:57.000000Z,cf255040-61a3-11eb-a423-fffb4aaf2529,"OEM Partner (SaaS Admin)"
56ded470-88cf-11eb-875a-ef87f29d0742,"Job Logs to Qlik Sense (Incrementally)",,,widget,live,available,manual,,1,,,,https://alvaropalacios.admin.blendr.io/widgets/56ded470-88cf-11eb-875a-ef87f29d0742,,,-1,Europe/Paris,https://d3943gebd10mx7.cloudfront.net/image/logos/74ce5b121244145b0143675e69e195e4.png,https://d3943gebd10mx7.cloudfront.net/image/logos/arrowright.png,https://d3943gebd10mx7.cloudfront.net/image/logos/21dd4ad9985d490e7bfd7a644d783489.png,2021-03-19T16:22:46.000000Z,2021-04-19T09:49:12.000000Z,2021-04-19T09:49:11.000000Z,cf255040-61a3-11eb-a423-fffb4aaf2529,"OEM Partner (SaaS Admin)"
0d83a3a0-8bc1-11eb-be8d-c776a941b0b5,"Talmundo to bamboohr poc (triggered not for demo)",,,widget,live,available,triggered,,1,1,,891103d0-8893-11eb-bb41-5b865ab22d79,https://alvaropalacios.admin.blendr.io/widgets/0d83a3a0-8bc1-11eb-be8d-c776a941b0b5,,,-1,Europe/Paris,https://d3943gebd10mx7.cloudfront.net/image/logos/bdf2d155fd4e078972c7cf9d4fd5ab29.png,,,2021-03-23T10:18:03.000000Z,2021-03-23T10:22:41.000000Z,2021-03-23T10:19:56.000000Z,cf255040-61a3-11eb-a423-fffb4aaf2529,"OEM Partner (SaaS Admin)"
