guid,stoptime,starttime,created_at,updated_at,schedule_starttime,context,status,blendid
26c1e6e0-befc-11eb-a324-691edfb201cc,2021-05-27T14:59:40.000000Z,2021-05-27T14:59:35.000000Z,2021-05-27T14:59:35.000000Z,2021-05-27T14:59:40.000000Z,,detail,finished,5bc12510-8348-11eb-819d-291dcb5d803d
1fb163b0-befb-11eb-9a04-e3009cf4e004,2021-05-27T14:52:22.000000Z,2021-05-27T14:52:14.000000Z,2021-05-27T14:52:14.000000Z,2021-05-27T14:52:22.000000Z,,detail,finished,5bc12510-8348-11eb-819d-291dcb5d803d
47c992b0-befa-11eb-a609-cf0c0e896606,2021-05-27T14:46:20.000000Z,2021-05-27T14:46:12.000000Z,2021-05-27T14:46:12.000000Z,2021-05-27T14:46:20.000000Z,,detail,finished,5bc12510-8348-11eb-819d-291dcb5d803d
020f27e0-bef9-11eb-8366-affc5d70d82f,2021-05-27T14:37:13.000000Z,2021-05-27T14:37:05.000000Z,2021-05-27T14:37:05.000000Z,2021-05-27T14:37:13.000000Z,,detail,finished,5bc12510-8348-11eb-819d-291dcb5d803d
aed73f20-bef6-11eb-8037-c717d2bd2e57,2021-05-27T14:20:33.000000Z,2021-05-27T14:20:27.000000Z,2021-05-27T14:20:26.000000Z,2021-05-27T14:20:33.000000Z,,editor,finished,5bc12510-8348-11eb-819d-291dcb5d803d
2155e990-be34-11eb-b0e1-e72e89b4c34a,2021-05-27T03:07:45.000000Z,2021-05-27T03:06:50.000000Z,2021-05-26T15:07:47.000000Z,2021-05-27T03:07:45.000000Z,2021-05-27T03:06:50.000000Z,scheduler,finished,25e4a100-b22a-11eb-9128-db5111b49995
9b21c200-befb-11eb-926c-47700af4d396,2021-05-27T14:57:03.000000Z,2021-05-27T14:55:41.000000Z,2021-05-27T14:55:41.000000Z,2021-05-27T14:57:03.000000Z,,editor,failed,d2cbf140-becc-11eb-8794-f72054b880c7
9605a4b0-befa-11eb-a558-830457e7a9b2,2021-05-27T14:49:23.000000Z,2021-05-27T14:48:23.000000Z,2021-05-27T14:48:23.000000Z,2021-05-27T14:49:23.000000Z,,editor,failed,d2cbf140-becc-11eb-8794-f72054b880c7
5a89ffd0-bef9-11eb-92e0-cfdfee01b92b,2021-05-27T14:41:30.000000Z,2021-05-27T14:39:34.000000Z,2021-05-27T14:39:34.000000Z,2021-05-27T14:41:30.000000Z,,detail,finished,d2cbf140-becc-11eb-8794-f72054b880c7
f18a2830-bef7-11eb-89d6-b1efac9b2774,2021-05-27T14:31:49.000000Z,2021-05-27T14:29:28.000000Z,2021-05-27T14:29:28.000000Z,2021-05-27T14:31:50.000000Z,,editor,finished,d2cbf140-becc-11eb-8794-f72054b880c7
ae137890-bef5-11eb-b313-db97d9472df9,2021-05-27T14:13:58.000000Z,2021-05-27T14:13:16.000000Z,2021-05-27T14:13:16.000000Z,2021-05-27T14:13:58.000000Z,,editor,failed,d2cbf140-becc-11eb-8794-f72054b880c7
ac0e2a90-bef4-11eb-a5ef-933e165c0017,2021-05-27T14:06:05.000000Z,2021-05-27T14:06:03.000000Z,2021-05-27T14:06:03.000000Z,2021-05-27T14:06:06.000000Z,,editor,finished,d2cbf140-becc-11eb-8794-f72054b880c7
58b9a900-bef1-11eb-add5-bf822c4f977d,2021-05-27T13:42:17.000000Z,2021-05-27T13:42:15.000000Z,2021-05-27T13:42:14.000000Z,2021-05-27T13:42:17.000000Z,,editor,failed,d2cbf140-becc-11eb-8794-f72054b880c7
33603f50-bef1-11eb-b4b8-afa8d13dd048,2021-05-27T13:41:14.000000Z,2021-05-27T13:41:12.000000Z,2021-05-27T13:41:12.000000Z,2021-05-27T13:41:14.000000Z,,editor,failed,d2cbf140-becc-11eb-8794-f72054b880c7
f6a6e690-bef0-11eb-ac96-374d955f2af0,2021-05-27T13:39:32.000000Z,2021-05-27T13:39:30.000000Z,2021-05-27T13:39:30.000000Z,2021-05-27T13:39:32.000000Z,,editor,failed,d2cbf140-becc-11eb-8794-f72054b880c7
E71044EF-A4AC-411B-A4C6-93BD9391873C,2021-05-27T13:38:28.000000Z,2021-05-27T13:38:27.000000Z,2021-05-27T13:38:27.000000Z,2021-05-27T13:38:28.000000Z,,test_run,finished,d2cbf140-becc-11eb-8794-f72054b880c7
505CF937-9139-4789-A6CF-5AE7ABE5F59E,2021-05-27T13:37:48.000000Z,2021-05-27T13:37:47.000000Z,2021-05-27T13:37:47.000000Z,2021-05-27T13:37:49.000000Z,,test_run,finished,d2cbf140-becc-11eb-8794-f72054b880c7
25b0c670-bef0-11eb-9bbf-7b8aa2df6e9f,2021-05-27T13:33:42.000000Z,2021-05-27T13:33:40.000000Z,2021-05-27T13:33:39.000000Z,2021-05-27T13:33:42.000000Z,,editor,failed,d2cbf140-becc-11eb-8794-f72054b880c7
740454B5-BFE8-4C23-B8B7-58FBD7F0829F,2021-05-27T13:29:06.000000Z,2021-05-27T13:29:04.000000Z,2021-05-27T13:29:04.000000Z,2021-05-27T13:29:06.000000Z,,test_run,failed,d2cbf140-becc-11eb-8794-f72054b880c7
31DB3DAA-C25D-4075-AB19-66FFF166E0D3,2021-05-27T13:29:01.000000Z,2021-05-27T13:29:00.000000Z,2021-05-27T13:29:00.000000Z,2021-05-27T13:29:01.000000Z,,test_run,failed,d2cbf140-becc-11eb-8794-f72054b880c7
435f2b10-beef-11eb-949e-37d0d63d19e9,2021-05-27T13:27:21.000000Z,2021-05-27T13:27:20.000000Z,2021-05-27T13:27:20.000000Z,2021-05-27T13:27:22.000000Z,,editor,finished,d2cbf140-becc-11eb-8794-f72054b880c7
2f2addc0-beef-11eb-bbe6-611434cb2fe7,2021-05-27T13:26:46.000000Z,2021-05-27T13:26:46.000000Z,2021-05-27T13:26:46.000000Z,2021-05-27T13:26:46.000000Z,,editor,finished,d2cbf140-becc-11eb-8794-f72054b880c7
9846CDED-F5A2-4681-BCB2-266A6C50481E,2021-05-27T13:26:03.000000Z,2021-05-27T13:26:02.000000Z,2021-05-27T13:26:01.000000Z,2021-05-27T13:26:03.000000Z,,test_run,failed,d2cbf140-becc-11eb-8794-f72054b880c7
f953f0b0-bed2-11eb-840e-e1174d329e14,2021-05-27T10:04:51.000000Z,2021-05-27T10:04:50.000000Z,2021-05-27T10:04:50.000000Z,2021-05-27T10:04:51.000000Z,,editor,finished,d2cbf140-becc-11eb-8794-f72054b880c7
e7263390-becc-11eb-bc99-29a0ba76b5e3,2021-05-27T09:21:23.000000Z,2021-05-27T09:21:22.000000Z,2021-05-27T09:21:22.000000Z,2021-05-27T09:21:23.000000Z,,editor,finished,d2cbf140-becc-11eb-8794-f72054b880c7
de3f7430-becc-11eb-8645-fd8cf9a3e5b2,2021-05-27T09:21:08.000000Z,2021-05-27T09:21:07.000000Z,2021-05-27T09:21:07.000000Z,2021-05-27T09:21:08.000000Z,,editor,failed,d2cbf140-becc-11eb-8794-f72054b880c7
